SrcEntity	TgtEntity	Score
http://snomed.info/id/37512009	http://purl.org/sig/ont/fma/fma45728	1.0
http://snomed.info/id/113322007	http://purl.org/sig/ont/fma/fma51892	1.0
http://snomed.info/id/7820009	http://purl.org/sig/ont/fma/fma83840	1.0
http://snomed.info/id/279127002	http://purl.org/sig/ont/fma/fma256693	1.0
http://snomed.info/id/25509000	http://purl.org/sig/ont/fma/fma40857	1.0
http://snomed.info/id/61506003	http://purl.org/sig/ont/fma/fma16081	1.0
http://snomed.info/id/87600000	http://purl.org/sig/ont/fma/fma22738	1.0
http://snomed.info/id/29168006	http://purl.org/sig/ont/fma/fma20694	1.0
http://snomed.info/id/50755001	http://purl.org/sig/ont/fma/fma64829	1.0
http://snomed.info/id/41296002	http://purl.org/sig/ont/fma/fma82472	1.0
http://snomed.info/id/86618006	http://purl.org/sig/ont/fma/fma24493	1.0
http://snomed.info/id/60361003	http://purl.org/sig/ont/fma/fma21577	1.0
http://snomed.info/id/15650002	http://purl.org/sig/ont/fma/fma77883	1.0
http://snomed.info/id/55155007	http://purl.org/sig/ont/fma/fma63814	1.0
http://snomed.info/id/82407001	http://purl.org/sig/ont/fma/fma13429	1.0
http://snomed.info/id/23626002	http://purl.org/sig/ont/fma/fma321450	1.0
http://snomed.info/id/48977002	http://purl.org/sig/ont/fma/fma56732	1.0
http://snomed.info/id/18294001	http://purl.org/sig/ont/fma/fma63814	1.0
http://snomed.info/id/65469002	http://purl.org/sig/ont/fma/fma23014	1.0
http://snomed.info/id/40716006	http://purl.org/sig/ont/fma/fma13367	1.0
http://snomed.info/id/277868004	http://purl.org/sig/ont/fma/fma82482	1.0
http://snomed.info/id/26641008	http://purl.org/sig/ont/fma/fma71856	1.0
http://snomed.info/id/369191008	http://purl.org/sig/ont/fma/fma75735	1.0
http://snomed.info/id/39484005	http://purl.org/sig/ont/fma/fma13442	1.0
http://snomed.info/id/128253009	http://purl.org/sig/ont/fma/fma269302	1.0
http://snomed.info/id/70791007	http://purl.org/sig/ont/fma/fma66464	1.0
http://snomed.info/id/386045008	http://purl.org/sig/ont/fma/fma71012	1.0
http://snomed.info/id/206486005	http://purl.org/sig/ont/fma/fma22930	1.0
http://snomed.info/id/47985009	http://purl.org/sig/ont/fma/fma71786	1.0
http://snomed.info/id/79208000	http://purl.org/sig/ont/fma/fma49553	1.0
http://snomed.info/id/21440004	http://purl.org/sig/ont/fma/fma82494	1.0
http://snomed.info/id/21133008	http://purl.org/sig/ont/fma/fma24013	1.0
http://snomed.info/id/89858007	http://purl.org/sig/ont/fma/fma276755	1.0
http://snomed.info/id/206400002	http://purl.org/sig/ont/fma/fma71209	1.0
http://snomed.info/id/275606004	http://purl.org/sig/ont/fma/fma280989	1.0
