head;relation;tail
bread;broadmatch;owl#thing
coffee;broadmatch;owl#thing
drink mixes;broadmatch;owl#thing
seasonal candy;broadmatch;candy, gum & chocolate
candy, gum & chocolate;broadmatch;owl#thing
licorice;broadmatch;candy, gum & chocolate
water flavor enhancers;broadmatch;owl#thing
chewing gum;broadmatch;candy, gum & chocolate
coconut water;broadmatch;owl#thing
cereals & breakfast food;broadmatch;owl#thing
candy ingredients;broadmatch;candy, gum & chocolate
ground coffee;broadmatch;coffee
fudge;broadmatch;candy, gum & chocolate
water;broadmatch;owl#thing
meat, poultry & seafood;broadmatch;owl#thing
chewy candy;broadmatch;candy, gum & chocolate
international food;broadmatch;owl#thing
sugar free candy & chocolate;broadmatch;candy, gum & chocolate
coffee & soda syrups;broadmatch;owl#thing
mushrooms & truffles;broadmatch;owl#thing
jams, jellies & preserves;broadmatch;owl#thing
vegetables;broadmatch;owl#thing
spices, seasonings & extracts;broadmatch;owl#thing
milk & non-dairy milks;broadmatch;owl#thing
flavored coffee;broadmatch;coffee
cookies & biscotti;broadmatch;owl#thing
beer & wine making;broadmatch;owl#thing
food coupons;broadmatch;owl#thing
grains & pasta;broadmatch;owl#thing
condiments;broadmatch;owl#thing
fruit juices;broadmatch;owl#thing
oils;broadmatch;owl#thing
snack foods;broadmatch;owl#thing
chocolate;broadmatch;candy, gum & chocolate
buffalo, beef & turkey jerky;broadmatch;candy, gum & chocolate
tea;broadmatch;owl#thing
soups & stews;broadmatch;owl#thing
baking mixes;broadmatch;owl#thing
trail mix;broadmatch;owl#thing
cheese;broadmatch;owl#thing
fondant & gum paste;broadmatch;candy, gum & chocolate
jelly beans;broadmatch;candy, gum & chocolate
desserts;broadmatch;owl#thing
fake food;broadmatch;owl#thing
sauces;broadmatch;owl#thing
coffee beans;broadmatch;coffee
fruits;broadmatch;owl#thing
soft drinks;broadmatch;owl#thing
gummy candy;broadmatch;candy, gum & chocolate
hard candy & lollipops;broadmatch;candy, gum & chocolate
chocolate covered fruit;broadmatch;candy, gum & chocolate
nuts & seeds;broadmatch;owl#thing
honey & syrup & sweeteners;broadmatch;owl#thing
mints;broadmatch;candy, gum & chocolate
baking chocolate;broadmatch;owl#thing
coffee pods & k-cups;broadmatch;coffee
owl#thing;narrowmatch;bread
owl#thing;narrowmatch;coffee
owl#thing;narrowmatch;drink mixes
candy, gum & chocolate;narrowmatch;seasonal candy
owl#thing;narrowmatch;candy, gum & chocolate
candy, gum & chocolate;narrowmatch;licorice
owl#thing;narrowmatch;water flavor enhancers
candy, gum & chocolate;narrowmatch;chewing gum
owl#thing;narrowmatch;coconut water
owl#thing;narrowmatch;cereals & breakfast food
candy, gum & chocolate;narrowmatch;candy ingredients
candy, gum & chocolate;narrowmatch;fudge
owl#thing;narrowmatch;water
owl#thing;narrowmatch;meat, poultry & seafood
candy, gum & chocolate;narrowmatch;chewy candy
owl#thing;narrowmatch;international food
candy, gum & chocolate;narrowmatch;sugar free candy & chocolate
owl#thing;narrowmatch;coffee & soda syrups
owl#thing;narrowmatch;mushrooms & truffles
owl#thing;narrowmatch;jams, jellies & preserves
owl#thing;narrowmatch;vegetables
owl#thing;narrowmatch;spices, seasonings & extracts
owl#thing;narrowmatch;milk & non-dairy milks
coffee;narrowmatch;flavored coffee
owl#thing;narrowmatch;cookies & biscotti
owl#thing;narrowmatch;wine
owl#thing;narrowmatch;beer & wine making
owl#thing;narrowmatch;food coupons
owl#thing;narrowmatch;grains & pasta
owl#thing;narrowmatch;condiments
owl#thing;narrowmatch;fruit juices
owl#thing;narrowmatch;oils
owl#thing;narrowmatch;snack foods
candy, gum & chocolate;narrowmatch;chocolate
candy, gum & chocolate;narrowmatch;buffalo, beef & turkey jerky
owl#thing;narrowmatch;tea
owl#thing;narrowmatch;soups & stews
owl#thing;narrowmatch;baking mixes
owl#thing;narrowmatch;trail mix
owl#thing;narrowmatch;cheese
candy, gum & chocolate;narrowmatch;fondant & gum paste
candy, gum & chocolate;narrowmatch;jelly beans
owl#thing;narrowmatch;desserts
owl#thing;narrowmatch;fake food
owl#thing;narrowmatch;sauces
coffee;narrowmatch;coffee beans
owl#thing;narrowmatch;fruits
owl#thing;narrowmatch;soft drinks
candy, gum & chocolate;narrowmatch;gummy candy
candy, gum & chocolate;narrowmatch;hard candy & lollipops
candy, gum & chocolate;narrowmatch;chocolate covered fruit
owl#thing;narrowmatch;nuts & seeds
owl#thing;narrowmatch;honey & syrup & sweeteners
candy, gum & chocolate;narrowmatch;mints
owl#thing;narrowmatch;baking chocolate
coffee;narrowmatch;coffee pods & k-cups
fruits;broadmatch;canned & jarred food
canned & jarred food;broadmatch;canned, dry & packaged foods
deli;broadmatch;crackers
crackers;broadmatch;snack foods
chocolate gifts;broadmatch;gourmet gifts
gourmet gifts;broadmatch;owl#thing
pudding;broadmatch;pudding & gelantine
pudding & gelantine;broadmatch;snack foods
saltines;broadmatch;crackers
brittle;broadmatch;candy & chocolate
candy & chocolate;broadmatch;owl#thing
breakfast foods;broadmatch;owl#thing
salsas, dips & spreads;broadmatch;snack foods
coffee;broadmatch;beverages
gold cereal;broadmatch;cereals
cereals;broadmatch;breakfast foods
active dry yeasts;broadmatch;leaveners & yeasts
leaveners & yeasts;broadmatch;cooking & baking
cheese gifts;broadmatch;gourmet gifts
ginger snaps;broadmatch;cookies
cookies;broadmatch;snack foods
almond;broadmatch;flours & meals
flours & meals;broadmatch;cooking & baking
fresh centerpieces;broadmatch;fresh flowers & live indoor plants
fresh flowers & live indoor plants;broadmatch;owl#thing
bacon;broadmatch;fruits, nuts & snacks
fruits, nuts & snacks;broadmatch;candy & chocolate
polenta meal;broadmatch;flours & meals
caramels;broadmatch;candy & chocolate
wasabi;broadmatch;condiments, pickles & relishes
condiments, pickles & relishes;broadmatch;canned, dry & packaged foods
dessert gifts;broadmatch;gourmet gifts
vinegars;broadmatch;cooking oils, vinegars & sprays
cooking oils, vinegars & sprays;broadmatch;cooking & baking
cooking & baking;broadmatch;owl#thing
oat flour;broadmatch;flours & meals
snack gifts;broadmatch;gourmet gifts
meal replacement drinks;broadmatch;beverages
trail mix;broadmatch;snack foods
meat gifts;broadmatch;gourmet gifts
wine;broadmatch;owl#thing
oils;broadmatch;cooking oils, vinegars & sprays
pie crusts;broadmatch;baking mixes
baking mixes;broadmatch;cooking & baking
seasoned coatings;broadmatch;breadcrumbs & seasoned coatings
breadcrumbs & seasoned coatings;broadmatch;cooking & baking
canned, dry & packaged foods;broadmatch;owl#thing
seltzer & tonic water;broadmatch;water
water;broadmatch;beverages
carob;broadmatch;baking chocolates, carob & cocoa
baking chocolates, carob & cocoa;broadmatch;cooking & baking
simple syrup;broadmatch;syrup, sugars & sweeteners
syrup, sugars & sweeteners;broadmatch;cooking & baking
sauces, gravies & marinades;broadmatch;canned, dry & packaged foods
jams, jellies & sweet spreads;broadmatch;canned, dry & packaged foods
powdered eggs;broadmatch;cooking & baking
cashews;broadmatch;nuts, seeds
nuts, seeds;broadmatch;snack foods
potato;broadmatch;chips & crisps
chips & crisps;broadmatch;snack foods
fresh cut flowers;broadmatch;fresh flowers & live indoor plants
assortments & samplers;broadmatch;crackers
macadmia nuts;broadmatch;nuts, seeds
toaster pastries;broadmatch;breakfast foods
pork rinds;broadmatch;snack foods
baker's ammonia;broadmatch;leaveners & yeasts
coffee gifts;broadmatch;gourmet gifts
dried fruit & raisins;broadmatch;cooking & baking
nuts;broadmatch;fruits, nuts & snacks
pectin;broadmatch;pudding & gelantine
breadcrumps;broadmatch;breadcrumbs & seasoned coatings
oils, vinegars & salad dressings;broadmatch;canned, dry & packaged foods
breads;broadmatch;baking mixes
fruit butters;broadmatch;jams, jellies & sweet spreads
sports drinks;broadmatch;beverages
hard candy;broadmatch;candy & chocolate
breadsticks;broadmatch;snack foods
fruit leather;broadmatch;snack foods
mixed packs;broadmatch;wine
oyster;broadmatch;crackers
meat substitutes;broadmatch;canned & jarred food
fresh wreathes;broadmatch;fresh flowers & live indoor plants
cocktail sauce;broadmatch;condiments, pickles & relishes
vegetables;broadmatch;chips & crisps
suckers & lollipops;broadmatch;candy & chocolate
maple syrup;broadmatch;syrup, sugars & sweeteners
packaged meals & side dishes;broadmatch;canned, dry & packaged foods
chewing gum;broadmatch;candy & chocolate
mayonnaise;broadmatch;condiments, pickles & relishes
hazelnut spread;broadmatch;jams, jellies & sweet spreads
sugar;broadmatch;cookies
beans;broadmatch;dried beans, grains & rice
dried beans, grains & rice;broadmatch;canned, dry & packaged foods
potash baking ingredient;broadmatch;leaveners & yeasts
asian dishes;broadmatch;packaged meals & side dishes
assortments;broadmatch;candy & chocolate
sour candy;broadmatch;candy & chocolate
extracts & flavoring;broadmatch;cooking & baking
soft drinks;broadmatch;beverages
soups, stews & chili;broadmatch;canned & jarred food
chocolates;broadmatch;baking chocolates, carob & cocoa
peanut butter;broadmatch;cookies
jams & preserves gifts;broadmatch;jams, jellies & sweet spreads
sprinkles & glitters;broadmatch;frosting, icing & decorations
frosting, icing & decorations;broadmatch;cooking & baking
sparkling;broadmatch;wine
agave nectar & syrup;broadmatch;syrup, sugars & sweeteners
gelantine;broadmatch;pudding & gelantine
fresh sprays;broadmatch;fresh flowers & live indoor plants
pretzels;broadmatch;fruits, nuts & snacks
pepper & peppercorns;broadmatch;herbs, spices & seasonings
