SrcEntity	TgtEntity	Score
http://snomed.info/id/70401000	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62241	1.0
http://snomed.info/id/10291008	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3944	1.0
http://snomed.info/id/128635005	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2929	1.0
http://snomed.info/id/143291000119104	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C158581	1.0
http://snomed.info/id/315058005	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C165470	1.0
http://snomed.info/id/128661009	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62241	1.0
http://snomed.info/id/404070007	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62277	1.0
http://snomed.info/id/188498009	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7340	1.0
http://snomed.info/id/128794002	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45230	1.0
http://snomed.info/id/3172003	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7340	1.0
http://snomed.info/id/63402005	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54705	1.0
http://snomed.info/id/403824007	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54705	1.0
http://snomed.info/id/302840001	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62277	1.0
http://snomed.info/id/836276000	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27809	1.0
http://snomed.info/id/82267002	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62241	1.0
http://snomed.info/id/81446001	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62241	1.0
http://snomed.info/id/277573001	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27356	1.0
http://snomed.info/id/402841001	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2874	1.0
http://snomed.info/id/128741006	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26326	1.0
http://snomed.info/id/398660000	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7571	1.0
http://snomed.info/id/35962006	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3075	1.0
http://snomed.info/id/118599009	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27809	1.0
http://snomed.info/id/238701007	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3341	1.0
