SrcEntity	TgtEntity	Score
http://snomed.info/id/59757002	http://purl.org/sig/ont/fma/fma19099	1.0
http://snomed.info/id/81012005	http://purl.org/sig/ont/fma/fma24527	1.0
http://snomed.info/id/12300005	http://purl.org/sig/ont/fma/fma323058	1.0
http://snomed.info/id/279147005	http://purl.org/sig/ont/fma/fma62187	1.0
http://snomed.info/id/88938001	http://purl.org/sig/ont/fma/fma49015	1.0
http://snomed.info/id/782685009	http://purl.org/sig/ont/fma/fma15026	1.0
http://snomed.info/id/274060004	http://purl.org/sig/ont/fma/fma70495	1.0
http://snomed.info/id/182451009	http://purl.org/sig/ont/fma/fma44639	1.0
http://snomed.info/id/65820005	http://purl.org/sig/ont/fma/fma54441	1.0
http://snomed.info/id/280048001	http://purl.org/sig/ont/fma/fma322134	1.0
http://snomed.info/id/40092000	http://purl.org/sig/ont/fma/fma14818	1.0
http://snomed.info/id/63464009	http://purl.org/sig/ont/fma/fma37800	1.0
http://snomed.info/id/181602003	http://purl.org/sig/ont/fma/fma60614	1.0
http://snomed.info/id/78904004	http://purl.org/sig/ont/fma/fma50060	1.0
http://snomed.info/id/78277001	http://purl.org/sig/ont/fma/fma312872	1.0
http://snomed.info/id/11339004	http://purl.org/sig/ont/fma/fma7397	1.0
http://snomed.info/id/13826004	http://purl.org/sig/ont/fma/fma45045	1.0
http://snomed.info/id/280707006	http://purl.org/sig/ont/fma/fma19757	1.0
http://snomed.info/id/75703003	http://purl.org/sig/ont/fma/fma70756	1.0
http://snomed.info/id/763525004	http://purl.org/sig/ont/fma/fma21388	1.0
http://snomed.info/id/21440004	http://purl.org/sig/ont/fma/fma321999	1.0
http://snomed.info/id/368208006	http://purl.org/sig/ont/fma/fma24896	1.0
http://snomed.info/id/45793000	http://purl.org/sig/ont/fma/fma62033	1.0
http://snomed.info/id/32041000	http://purl.org/sig/ont/fma/fma15622	1.0
http://snomed.info/id/15731009	http://purl.org/sig/ont/fma/fma6583	1.0
http://snomed.info/id/66643007	http://purl.org/sig/ont/fma/fma10462	1.0
http://snomed.info/id/58471003	http://purl.org/sig/ont/fma/fma15627	1.0
http://snomed.info/id/159105008	http://purl.org/sig/ont/fma/fma14319	1.0
http://snomed.info/id/57481001	http://purl.org/sig/ont/fma/fma76736	1.0
http://snomed.info/id/2861001	http://purl.org/sig/ont/fma/fma7146	1.0
http://snomed.info/id/295263009	http://purl.org/sig/ont/fma/fma70907	1.0
http://snomed.info/id/263450007	http://purl.org/sig/ont/fma/fma37575	1.0
http://snomed.info/id/279131008	http://purl.org/sig/ont/fma/fma62184	1.0
http://snomed.info/id/860780009	http://purl.org/sig/ont/fma/fma55799	1.0
http://snomed.info/id/314363005	http://purl.org/sig/ont/fma/fma69784	1.0
http://snomed.info/id/245343000	http://purl.org/sig/ont/fma/fma12792	1.0
http://snomed.info/id/279196000	http://purl.org/sig/ont/fma/fma256196	1.0
http://snomed.info/id/144026003	http://purl.org/sig/ont/fma/fma61225	1.0
