head;tail;relation
fruits;canned & jarred food;broadmatch
canned & jarred food;canned, dry & packaged foods;broadmatch
deli;crackers;broadmatch
crackers;snack foods;broadmatch
chocolate gifts;gourmet gifts;broadmatch
gourmet gifts;owl#thing;broadmatch
pudding;pudding & gelantine;broadmatch
pudding & gelantine;snack foods;broadmatch
saltines;crackers;broadmatch
brittle;candy & chocolate;broadmatch
candy & chocolate;owl#thing;broadmatch
breakfast foods;owl#thing;broadmatch
salsas, dips & spreads;snack foods;broadmatch
snack foods;owl#thing;broadmatch
coffee;beverages;broadmatch
gold cereal;cereals;broadmatch
cereals;breakfast foods;broadmatch
active dry yeasts;leaveners & yeasts;broadmatch
leaveners & yeasts;cooking & baking;broadmatch
cheese gifts;gourmet gifts;broadmatch
ginger snaps;cookies;broadmatch
cookies;snack foods;broadmatch
almond;flours & meals;broadmatch
flours & meals;cooking & baking;broadmatch
fresh centerpieces;fresh flowers & live indoor plants;broadmatch
fresh flowers & live indoor plants;owl#thing;broadmatch
bacon;fruits, nuts & snacks;broadmatch
fruits, nuts & snacks;candy & chocolate;broadmatch
polenta meal;flours & meals;broadmatch
caramels;candy & chocolate;broadmatch
wasabi;condiments, pickles & relishes;broadmatch
condiments, pickles & relishes;canned, dry & packaged foods;broadmatch
dessert gifts;gourmet gifts;broadmatch
vinegars;cooking oils, vinegars & sprays;broadmatch
cooking oils, vinegars & sprays;cooking & baking;broadmatch
cooking & baking;owl#thing;broadmatch
oat flour;flours & meals;broadmatch
snack gifts;gourmet gifts;broadmatch
meal replacement drinks;beverages;broadmatch
trail mix;snack foods;broadmatch
meat gifts;gourmet gifts;broadmatch
wine;owl#thing;broadmatch
oils;cooking oils, vinegars & sprays;broadmatch
pie crusts;baking mixes;broadmatch
baking mixes;cooking & baking;broadmatch
seasoned coatings;breadcrumbs & seasoned coatings;broadmatch
breadcrumbs & seasoned coatings;cooking & baking;broadmatch
canned, dry & packaged foods;owl#thing;broadmatch
seltzer & tonic water;water;broadmatch
water;beverages;broadmatch
carob;baking chocolates, carob & cocoa;broadmatch
baking chocolates, carob & cocoa;cooking & baking;broadmatch
simple syrup;syrup, sugars & sweeteners;broadmatch
syrup, sugars & sweeteners;cooking & baking;broadmatch
sauces, gravies & marinades;canned, dry & packaged foods;broadmatch
jams, jellies & sweet spreads;canned, dry & packaged foods;broadmatch
powdered eggs;cooking & baking;broadmatch
cashews;nuts, seeds;broadmatch
nuts, seeds;snack foods;broadmatch
potato;chips & crisps;broadmatch
chips & crisps;snack foods;broadmatch
fresh cut flowers;fresh flowers & live indoor plants;broadmatch
