SrcEntity	TgtEntity	Score
http://omim.org/entry/273300	http://www.orpha.net/ORDO/Orphanet_363582	1.0
http://omim.org/entry/217095	http://www.orpha.net/ORDO/Orphanet_98717	1.0
http://www.omim.org/phenotypicSeries/PS602014	http://www.orpha.net/ORDO/Orphanet_183592	1.0
http://www.omim.org/phenotypicSeries/PS607014	http://www.orpha.net/ORDO/Orphanet_98638	1.0
http://omim.org/entry/187350	http://www.orpha.net/ORDO/Orphanet_101435	1.0
http://www.omim.org/phenotypicSeries/PS610805	http://www.orpha.net/ORDO/Orphanet_93626	1.0
http://www.omim.org/phenotypicSeries/PS161050	http://www.orpha.net/ORDO/Orphanet_183454	1.0
http://www.omim.org/phenotypicSeries/PS108120	http://www.orpha.net/ORDO/Orphanet_109007	1.0
http://www.omim.org/phenotypicSeries/PS192500	http://www.orpha.net/ORDO/Orphanet_101934	1.0
http://www.omim.org/phenotypicSeries/PS306955	http://www.orpha.net/ORDO/Orphanet_98716	1.0
http://www.omim.org/phenotypicSeries/PS164400	http://www.orpha.net/ORDO/Orphanet_98540	1.0
http://www.omim.org/phenotypicSeries/PS108600	http://www.orpha.net/ORDO/Orphanet_183518	1.0
http://omim.org/entry/601808	http://www.orpha.net/ORDO/Orphanet_261836	1.0
http://omim.org/entry/177800	http://www.orpha.net/ORDO/Orphanet_140653	1.0
http://www.omim.org/phenotypicSeries/PS115210	http://www.orpha.net/ORDO/Orphanet_217632	1.0
http://www.omim.org/phenotypicSeries/PS106100	http://www.orpha.net/ORDO/Orphanet_658	1.0
http://www.omim.org/phenotypicSeries/PS305100	http://www.orpha.net/ORDO/Orphanet_183447	1.0
http://omim.org/entry/154800	http://www.orpha.net/ORDO/Orphanet_90077	1.0
http://www.omim.org/phenotypicSeries/PS606215	http://www.orpha.net/ORDO/Orphanet_98720	1.0
http://omim.org/entry/105580	http://www.orpha.net/ORDO/Orphanet_424010	1.0
http://www.omim.org/phenotypicSeries/PS311360	http://www.orpha.net/ORDO/Orphanet_180208	1.0
http://omim.org/entry/146390	http://www.orpha.net/ORDO/Orphanet_261836	1.0
http://www.omim.org/phenotypicSeries/PS250950	http://www.orpha.net/ORDO/Orphanet_79163	1.0
http://www.omim.org/phenotypicSeries/PS253600	http://www.orpha.net/ORDO/Orphanet_263	1.0
http://www.omim.org/phenotypicSeries/PS605711	http://www.orpha.net/ORDO/Orphanet_68385	1.0
http://omim.org/entry/604302	http://www.orpha.net/ORDO/Orphanet_264704	1.0
http://www.omim.org/phenotypicSeries/PS193100	http://www.orpha.net/ORDO/Orphanet_183592	1.0
http://www.omim.org/phenotypicSeries/PS190350	http://www.orpha.net/ORDO/Orphanet_93436	1.0
http://www.omim.org/phenotypicSeries/PS131760	http://www.orpha.net/ORDO/Orphanet_79361	1.0
http://www.omim.org/phenotypicSeries/PS224120	http://www.orpha.net/ORDO/Orphanet_293830	1.0
http://omim.org/entry/300068	http://www.orpha.net/ORDO/Orphanet_325351	1.0
